Country Name,Country Code,Series Name,Series Code,2013 [YR2013]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..
Argentina,ARG,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,..
Argentina,ARG,"Access to non-solid fuel, rural (% of rural population)",EG.NSF.ACCS.RU.ZS,..
Argentina,ARG,"Access to non-solid fuel, urban (% of urban population)",EG.NSF.ACCS.UR.ZS,..
Argentina,ARG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.5180491761946
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,1491990
Argentina,ARG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,..
Argentina,ARG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,..
Argentina,ARG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,..
Argentina,ARG,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,..
Argentina,ARG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,..
Argentina,ARG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,..
Argentina,ARG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,12438.0042002149
Argentina,ARG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..
Argentina,ARG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,73.93
Argentina,ARG,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,15.48
Argentina,ARG,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,10.59
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9383561643836
Argentina,ARG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,37.78
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,14.5062100566743
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.933253004163024
Argentina,ARG,Arable land (hectares),AG.LND.ARBL.HA,39699000
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Argentina,ARG,"Bird species, threatened",EN.BIR.THRD.NO,..
Argentina,ARG,Cereal production (metric tons),AG.PRD.CREL.MT,51792609
Argentina,ARG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4724.72
Argentina,ARG,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,..
Argentina,ARG,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,..
Argentina,ARG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Argentina,ARG,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,..
Argentina,ARG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,..
Argentina,ARG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,..
Argentina,ARG,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,..
Argentina,ARG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,..
Argentina,ARG,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,..
Argentina,ARG,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,..
Argentina,ARG,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,..
Argentina,ARG,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,..
Argentina,ARG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,..
Argentina,ARG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,..
Argentina,ARG,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,..
Argentina,ARG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.000288780997896176
Argentina,ARG,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,..
Argentina,ARG,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,125.97
Argentina,ARG,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,..
